country_a,country_b,weight
Belgium,Greece,1
Belgium,Germany,1
Belgium,Czech Republic,1
Belgium,China,1
Belgium,Canada,1
Bangladesh,Vietnam,1
Bangladesh,South Korea,1
Bangladesh,Norway,1
Bangladesh,Nepal,1
Bangladesh,Ireland,1
Bangladesh,Indonesia,1
Bangladesh,Hungary,1
Bangladesh,Germany,1
Austria,Sweden,1
Austria,Portugal,1
Czech Republic,Saudi Arabia,1
Czech Republic,Tunisia,1
Israel,Japan,1
Hungary,Ukraine,1
India,Turkey,1
India,Tunisia,1
India,Syria,1
India,Switzerland,1
India,Slovakia,1
India,Palestine,1
India,Pakistan,1
India,Nigeria,1
India,Nepal,1
India,Lebanon,1
India,Indonesia,1
Iceland,United Kingdom,1
Iceland,Sweden,1
Hungary,USA,1
Denmark,Iceland,1
Hungary,South Korea,1
Hungary,Serbia,1
Hungary,Pakistan,1
Argentina,Brazil,1
Hong Kong,Qatar,1
Hong Kong,Pakistan,1
Hong Kong,Ireland,1
Greece,Ukraine,1
Greece,Portugal,1
Greece,Poland,1
Greece,Norway,1
Greece,India,1
Ghana,USA,1
Indonesia,Italy,1
Indonesia,Luxembourg,1
Indonesia,Norway,1
Indonesia,Philippines,1
Ireland,USA,1
Ireland,Qatar,1
Ireland,Poland,1
Iraq,Vietnam,1
Iraq,Uzbekistan,1
Iraq,USA,1
Iraq,Turkey,1
Iraq,Singapore,1
Iraq,Pakistan,1
Iraq,Malaysia,1
Iraq,Lebanon,1
Iraq,Jordan,1
Iran,Turkey,1
Iran,Syria,1
Iran,Sri Lanka,1
Iran,Norway,1
Iran,Nigeria,1
Iran,Netherlands,1
Iran,Mexico,1
Iran,Luxembourg,1
Iran,Lithuania,1
Iran,Lebanon,1
Iran,Iraq,1
Indonesia,Thailand,1
Indonesia,Russia,1
Indonesia,Portugal,1
Indonesia,Poland,1
Germany,Vietnam,1
Germany,Ukraine,1
Germany,UAE,1
Finland,Ireland,1
Finland,Hong Kong,1
Finland,Germany,1
Ethiopia,USA,1
Ethiopia,Oman,1
Ethiopia,Ghana,1
Egypt,United Kingdom,1
Egypt,UAE,1
Egypt,Spain,1
Egypt,South Korea,1
Egypt,Pakistan,1
Egypt,Nigeria,1
Egypt,Mexico,1
Egypt,Kazakhstan,1
Egypt,Jordan,1
Egypt,Hungary,1
Egypt,Germany,1
Egypt,France,1
Egypt,Finland,1
Ecuador,Spain,1
Ecuador,Italy,1
Denmark,United Kingdom,1
Denmark,Turkey,1
Denmark,Sweden,1
Denmark,Sri Lanka,1
Denmark,Netherlands,1
Denmark,Malaysia,1
Denmark,Italy,1
Finland,Indonesia,1
Finland,Netherlands,1
Germany,Tunisia,1
Finland,Pakistan,1
Germany,Sweden,1
Germany,Singapore,1
Germany,Poland,1
Germany,Philippines,1
Germany,Peru,1
Germany,Pakistan,1
Germany,New Zealand,1
Germany,Nepal,1
Germany,Morocco,1
Germany,Lebanon,1
France,Tunisia,1
France,Sweden,1
France,Saudi Arabia,1
France,Peru,1
France,Nigeria,1
France,New Zealand,1
France,Nepal,1
France,Morocco,1
France,Lebanon,1
France,Greece,1
Finland,United Kingdom,1
Finland,USA,1
Finland,Tunisia,1
Finland,Spain,1
Finland,South Korea,1
Finland,Saudi Arabia,1
Finland,Peru,1
Hong Kong,United Kingdom,1
